date,report_month,year,month,day,selection_tier,building_name_recent,building_name_long_term,usage_kwh_raw,usage_kwh,usage_kwh_clean,usage_kwh_imputed_continuous,cleaning_action,was_imputed_in_clean,is_original_value_reliable,is_validation_target_strict,is_validation_target_clean,is_continuity_only,is_placeholder_zero,is_partial_day,is_known_extreme_outlier,is_suspect_zero,is_auto_high_outlier,replacement_value_kwh,replacement_source_day_count,replacement_mean_kwh,replacement_median_kwh,positive_count,positive_median_kwh,positive_mean_kwh,positive_q1_kwh,positive_q3_kwh,positive_iqr_kwh,mapping_confidence,review_required,duplicate_group,zero_rate_recent,source_file,source_section,source_row_index_1based
2026-06-24,2026-06,2026,6,24,primary_reliable,생활과학대,생활과학대학,576,576.0,1256.9130434782608,1256.9130434782608,partial_day_replaced_by_building_month_mean,True,False,False,False,True,False,True,False,False,False,1256.9130434782608,23,1256.9130434782608,1257.0,23,1257.0,1256.9130434782608,1040.0,1502.5,462.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,128
2026-06-25,2026-06,2026,6,25,primary_reliable,생활과학대,생활과학대학,0,,,1256.9130434782608,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1256.9130434782608,23,1256.9130434782608,1257.0,23,1257.0,1256.9130434782608,1040.0,1502.5,462.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,129
2026-06-26,2026-06,2026,6,26,primary_reliable,생활과학대,생활과학대학,0,,,1256.9130434782608,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1256.9130434782608,23,1256.9130434782608,1257.0,23,1257.0,1256.9130434782608,1040.0,1502.5,462.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,130
2026-06-27,2026-06,2026,6,27,primary_reliable,생활과학대,생활과학대학,0,,,1256.9130434782608,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1256.9130434782608,23,1256.9130434782608,1257.0,23,1257.0,1256.9130434782608,1040.0,1502.5,462.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,131
2026-06-28,2026-06,2026,6,28,primary_reliable,생활과학대,생활과학대학,0,,,1256.9130434782608,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1256.9130434782608,23,1256.9130434782608,1257.0,23,1257.0,1256.9130434782608,1040.0,1502.5,462.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,132
2026-06-29,2026-06,2026,6,29,primary_reliable,생활과학대,생활과학대학,0,,,1256.9130434782608,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1256.9130434782608,23,1256.9130434782608,1257.0,23,1257.0,1256.9130434782608,1040.0,1502.5,462.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,133
2026-06-30,2026-06,2026,6,30,primary_reliable,생활과학대,생활과학대학,0,,,1256.9130434782608,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1256.9130434782608,23,1256.9130434782608,1257.0,23,1257.0,1256.9130434782608,1040.0,1502.5,462.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,134
2026-06-24,2026-06,2026,6,24,primary_reliable,섬유관,공대섬유관,651,651.0,1131.391304347826,1131.391304347826,partial_day_replaced_by_building_month_mean,True,False,False,False,True,False,True,False,False,False,1131.391304347826,23,1131.391304347826,1210.0,23,1210.0,1131.391304347826,920.5,1297.5,377.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,128
2026-06-25,2026-06,2026,6,25,primary_reliable,섬유관,공대섬유관,0,,,1131.391304347826,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1131.391304347826,23,1131.391304347826,1210.0,23,1210.0,1131.391304347826,920.5,1297.5,377.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,129
2026-06-26,2026-06,2026,6,26,primary_reliable,섬유관,공대섬유관,0,,,1131.391304347826,missing_placeholder_kept_na,False,False,False,False,True,True,False,False,False,False,1131.391304347826,23,1131.391304347826,1210.0,23,1210.0,1131.391304347826,920.5,1297.5,377.0,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,130
